comment,isHate
know woman sport joke,1
look like sloth deeper ’ syndrome,1
look like russian speak like indian disgusting go kill,1
woman deserve abused guess,1
woman made making baby cooking dinner nothing else,1
havent faggot taken bipill yet,1
’ go beck god murder christianity joke,1
african american monkey hold gun like,1
bulgaria exist country one homosexual one,1
negro tear neighborhood black thug get killed law enforcement must low iq,1
give aa fuck shit diamond jew fuck,1
think cunt wtf stay steady aim head little christian rat,1
white people shit human being,1
happened good old day freak exist sewer freak dragged manufactured group freak want cut cock take arse hope world treat woman take woman stop pandering twat,1
global massacre men pussiezzz girl,1
disgusting man disgusting religion admits muslim buy wife pffthis muslim poorislam keep stupid,1
well clear european cant differ nigger shitskins human,1
well im glad live serbia migrant islamist welcome,1
well done slovakia god bless build mosque allow recognise islam get point europe dont want muslim,1
white higher iq black iq measure intelligence evolved superior race larger brain,1
take everyone sudanese nigger egyptian shitskins palirats syrian iraqi scum theyre dog behave like nigger cost much especially syrian way many arrogant ungrateful backstabbing ape,1
need nazi party returnget another hitlerand form ssand start ethnic cleansing muslimsyes yesgather upput concentration campthen put muslim refugee ship send back thier country want therelive thier way thier ridiculous law don√¢¬ä¬ôt assimilate new western countriesand try dictate u even remove jesus school public areasare fucking seriousfuck dirty smelling muslim stop dictating cant countries√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° people power must rise say enough enoughtake sweden back swedestake greece back greekstake germany backtake poland backtake denmark backsave countriesand take europe back introduce anssstyle policeand clean street ghettosfull dirty muslimsits government fault allowing th shit happensend military insend brutal police start cleaning country europe muslim invading europe allowing happen ancient time even 100 year ago islam invaded europeit would war bring back crusader √¢¬ä¬ò s √¢¬ä¬òstyle nazi police must unite stand protect democratic country law waysand eliminate islam throw dirty smelling muslimanimals send back country live wishthey fuck goat rape woman fucking disgusting muslimslow life dirty raceand islam nit god religionits cultits ridiculous unethical imoral cult √∞¬ü¬ò¬à√∞¬ü¬ò¬à satin worksatins preaching godthe creator universedoes preach kill infidel kill non believer 345 wife commit pedophiliaand marry 9 year old little girl muslimswho never contributed humanitynever invented anything nothing positive come islamthey created nothinginvented nothingcontributed nothing human race muslim live western democratic countriesenjoy way milk welfare systemand ruin countriescreate problemsfightsteal create crimescare peopletr6 chage western way life even rape woman fuck cocksuckersburn allimpale themwe must fight back unite clean europe soon god send true messengerto planet earth √∞¬ü¬å¬ègod send clear message humanity muslim people feel wrath god suffer consequencesmuslims suffer lose invasion european win take back europe beginning new crusadeschristianity v islamthe crusader islam need fight protect way life democratic society√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√¢¬ö¬î√ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°,1
men enjoy reproductive right paying abortion right fund planned parenthood right overpay obama care fund contraception promiscuous slut get pregnant fault nobody el left wing liberal piece shit go whore keep spreading disease half black woman herpes right pay outrageous,1
watching kid trying step walk crutch best thing world idiot,1
u suck shit black fuck,1
transgenders need helpthey sick head civilization messed world soon enough people claim right change animal seen human right right choose,1
trans using logic feminist using decade destroy men don39t feel sorry wamen one bit,1
time nuke china unleash plague,1
throwing stone paraplegic kid favourite hobby,1
shit guy boxed head thrown top windowfuck peoado muhamed islam,1
sick disgusting white terroristfascist killed 50 innocent people,1
priest hated even stupid god,1
korean bitch like pig ’ made army sumo shithole country,1
sinful say bible dumb fucktards stop saying go heaven gay go heaven trust fucking choice gf dated girl 2nd bf dated like 12 girl 100 straight change right side,1
exactly feel like see tranny like disgusting af,1
considered white sweden wonder accepted black muslim immigrant literally color blind,1
homo faggot spike lee wore flopscers notice blatant subliminal message,1
fcking jew want money ’ give dick want,1
insolent parasite always bear ill christ jewish race plague,1
woman arent autistic smart autistic people retard make weird noise flap hand people autistic,1
people fucking animal never change culture simply compatible definitely rape culture it√¢¬ä¬ôs right islam,1
clearly written quran person follow quran called kafir kill get 72 hour islam terrorism,1
world would better without white people stole black egyptian christ age poor wasnt white ruin everything black peoplewhite people pig dick shape hip booty get plastic surgery u black get mother white brought skin cancer america learn fact try run u america yall racist as smelly cracker dont say beat as cant wan na find drop adress√∞¬ü¬ü¬ó√ø¬∏¬è√∞¬ü¬í¬ø√∞¬ü¬ô¬ç,1
reason see indian bashing muslim islam hindu supremacist hate islam muslim atrocity kashmir cow lynching muslim gang rape muslim child read heard clear muslim across world india friend islam muslim behind disguise secularism hate muslim arab muslim country resident see understand ugly face racist hindu overwhelming majority india number vote cast bjprss party proof amazes saudi arabia gulf country spending billion india seeing much hate islam muslim particularly arab wake canât understand make let muslim united boycott indian product restaurant movie stop killing muslim kashmir rest india make law stop anti muslim hate racism,1
thing repulsive nigger nigger faggot selfhating white shower image crossdressed nigger praise modern left fetishizes form depravity,1
men turtlesidiots even uk… get lost,1
guy feel shame gay wrong choice bad influence young people never seen proud gay like saying proud rapist awful time disappointed trump political pressure failed stand ground right thing,1
girl still need good as whooping stupid as bitch,1
fucking black cunt get fucking cross hair fucking head look owe shit anyone dosent owe look whore fuck death 11 percentile falling whore black racist whore take red pill,1
teaching kid transgenders anything mentally ill get set fire,1
taliban people thought must hanged,1
surprised burqa banned belgium poland much lookeddown upon kill,1
support china also fight cancer religion xinjiang despite difference two race one unite enemy islam,1
stupid ugly asian tan as snitch,1
stupid black womenif restaurant would whipped as,1
stone throwing must legal woman,1
stand fuck take fucking lazy white male fuck called racist protect woman child find street kill bury right animal wipe careful,1
smack bitch mouthy african cunt,1
said christian well want bury,1
heavily relying turn cheektough talking demon infested woman,1
serbia kill gay yugoslavia albanian bosnians croatian,1
send gay hell,1
see black paris try pretend french themen want one thingto pimp girl woman black woman desire white men pretend like white french wife african blend white society,1
salute taliban mujahideen pakistani strongly supporting go crush america kill bastard allah u akbar victory insha allah,1
really hope get raped future raping woman legal think,1
racist as black bitch slapping white man bus driver uppercut as,1
phuck white rasist as people,1
man walked little girl gay pride flag wanted jump video punch ya know thats assault,1
black life matter fuck white people cancer earth,1
native american fucking joke even decent mother language,1
muslim want war take first,1
mentally disabled people fucking scary disfigurement unnerving strange fact mental capacity 5 year old make threatening never know might,1
men race subordinate woman,1
maybe youre autistic wish death,1
look gay as nigga lol acting like bitch,1
lol youre white youre jew jew worst nation must annihilated like,1
lock woman home female stupid understand anything iam agnostic,1
lgbtq mentally ill period,1
let go beat queer,1
killing korean werry good,1
